Laseregg_1c5d 24 hour raw data

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-06-15 11:27:57
Time span: 2017-06-14 18:27:53 to 2017-06-15 18:27:53

Time Point,Pm 2.5,Pm 10
2017-06-15 18:27:36,14,15
2017-06-15 18:22:36,14,16
2017-06-15 18:17:36,13,13
2017-06-15 18:12:36,14,15
2017-06-15 18:07:36,16,16
2017-06-15 18:02:37,16,17
2017-06-15 17:57:36,12,13
2017-06-15 17:52:35,14,15
2017-06-15 17:47:36,13,14
2017-06-15 17:42:36,21,23
2017-06-15 17:37:35,14,14
2017-06-15 17:32:36,20,23
2017-06-15 17:27:36,42,44
2017-06-15 17:22:36,23,26
2017-06-15 17:17:37,18,18
2017-06-15 17:12:37,12,12
2017-06-15 17:07:37,12,11
2017-06-15 17:02:37,13,14
2017-06-15 16:57:37,13,13
2017-06-15 16:52:35,12,11
2017-06-15 16:47:37,14,14
2017-06-15 16:42:37,16,17
2017-06-15 16:37:37,36,37
2017-06-15 16:32:37,12,13
2017-06-15 16:27:37,24,26
2017-06-15 16:22:37,19,22
2017-06-15 16:17:37,14,14
2017-06-15 16:12:37,14,15
2017-06-15 16:07:37,14,16
2017-06-15 16:02:37,16,19
2017-06-15 15:57:37,13,13
2017-06-15 15:52:36,12,13
2017-06-15 15:47:37,19,19
2017-06-15 15:42:37,19,20
2017-06-15 15:37:36,15,16
2017-06-15 15:32:37,17,17
2017-06-15 15:27:37,17,18
2017-06-15 15:22:37,17,19
2017-06-15 15:17:37,19,20
2017-06-15 15:12:37,14,14
2017-06-15 15:07:37,16,17
2017-06-15 15:02:37,18,18
2017-06-15 14:57:37,14,15
2017-06-15 14:52:36,13,14
2017-06-15 14:47:37,15,15
2017-06-15 14:42:37,16,17
2017-06-15 14:37:37,13,13
2017-06-15 14:32:37,17,17
2017-06-15 14:27:37,13,13
2017-06-15 14:22:37,14,15
2017-06-15 14:17:37,24,25
2017-06-15 14:12:37,15,15
2017-06-15 14:07:37,15,15
2017-06-15 14:02:37,14,15
