Laseregg_1c5d 24 hour raw data

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-07-06 13:20:16
Time span: 2017-07-05 20:20:14 to 2017-07-06 20:20:14

Time Point,Pm 2.5,Pm 10
2017-07-06 20:19:09,12,12
2017-07-06 20:14:09,11,10
2017-07-06 20:09:09,12,11
2017-07-06 20:04:09,8,8
2017-07-06 19:59:09,11,10
2017-07-06 19:54:09,11,11
2017-07-06 19:49:09,12,13
2017-07-06 19:44:10,14,14
2017-07-06 19:39:10,14,14
2017-07-06 19:34:10,11,11
2017-07-06 19:29:10,12,12
2017-07-06 19:24:08,12,12
2017-07-06 19:19:12,9,8
2017-07-06 19:14:10,10,10
2017-07-06 19:09:10,8,7
2017-07-06 19:04:12,7,6
2017-07-06 18:59:10,11,10
2017-07-06 18:54:10,12,11
2017-07-06 18:49:10,10,9
2017-07-06 18:44:10,8,7
2017-07-06 18:39:10,8,7
2017-07-06 18:34:10,10,9
2017-07-06 18:29:10,12,11
2017-07-06 18:24:08,7,7
2017-07-06 18:19:10,12,12
2017-07-06 18:14:10,11,10
2017-07-06 18:09:10,9,8
2017-07-06 18:04:10,12,12
2017-07-06 17:59:10,12,11
2017-07-06 17:54:10,10,9
2017-07-06 17:49:11,12,12
2017-07-06 17:44:10,12,12
2017-07-06 17:39:10,14,14
2017-07-06 17:34:10,12,12
2017-07-06 17:29:10,14,15
2017-07-06 17:24:09,15,16
2017-07-06 17:19:10,14,14
2017-07-06 17:14:10,17,19
2017-07-06 17:09:10,14,15
2017-07-06 17:04:10,17,18
2017-07-06 16:59:10,15,15
2017-07-06 16:54:10,15,15
2017-07-06 16:49:10,17,19
2017-07-06 16:44:10,14,15
2017-07-06 16:39:10,11,11
2017-07-06 16:34:10,23,24
2017-07-06 16:29:10,12,12
2017-07-06 16:24:09,10,9
2017-07-06 16:19:10,8,7
2017-07-06 16:14:10,10,9
2017-07-06 16:09:11,11,10
2017-07-06 16:04:10,15,15
2017-07-06 15:59:10,13,13
2017-07-06 15:54:10,12,14
2017-07-06 15:49:11,12,11
2017-07-06 15:44:10,12,11
2017-07-06 15:39:11,15,16
2017-07-06 15:34:10,29,30
2017-07-06 15:29:13,17,17
2017-07-06 15:24:09,21,21
2017-07-06 15:19:11,17,18
2017-07-06 15:14:11,16,17
2017-07-06 15:09:11,12,13
2017-07-06 15:04:11,11,11
2017-07-06 14:59:11,14,15
2017-07-06 14:54:11,12,13
2017-07-06 14:49:11,12,12
2017-07-06 14:44:11,15,16
2017-07-06 14:39:11,12,12
2017-07-06 14:34:11,14,16
2017-07-06 14:29:11,12,12
2017-07-06 14:24:10,8,7
2017-07-06 14:19:11,12,11
2017-07-06 14:14:11,8,8
2017-07-06 14:09:11,11,12
2017-07-06 14:04:11,12,11
2017-07-06 13:59:11,11,10
2017-07-06 13:54:11,9,8
2017-07-06 13:49:11,6,6
2017-07-06 13:44:11,12,14
2017-07-06 13:39:11,7,7
2017-07-06 13:34:11,14,14
2017-07-06 13:29:11,38,39
2017-07-06 13:24:10,14,15
2017-07-06 13:19:11,12,13
2017-07-06 13:14:11,15,16
2017-07-06 13:09:11,15,16
2017-07-06 13:04:11,16,16
2017-07-06 12:59:11,17,18
2017-07-06 12:54:11,12,11
2017-07-06 12:49:11,13,14
2017-07-06 12:44:11,14,15
2017-07-06 12:39:11,14,16
2017-07-06 12:34:11,15,15
2017-07-06 12:29:11,17,18
2017-07-06 12:24:10,14,14
2017-07-06 12:19:11,12,13
2017-07-06 12:14:11,17,17
2017-07-06 12:09:11,16,16
2017-07-06 12:04:11,18,19
2017-07-06 11:59:11,19,20
2017-07-06 11:54:11,17,17
2017-07-06 11:49:11,16,18
2017-07-06 11:44:11,15,16
2017-07-06 11:39:12,22,23
2017-07-06 11:34:11,18,19
2017-07-06 11:29:12,16,17
2017-07-06 11:24:10,14,16
2017-07-06 11:19:12,13,14
2017-07-06 11:14:12,12,12
2017-07-06 11:09:12,16,16
2017-07-06 11:04:12,23,24
2017-07-06 10:59:12,21,22
2017-07-06 10:54:16,23,24
2017-07-06 10:49:12,20,20
2017-07-06 10:44:12,21,23
2017-07-06 10:39:12,18,19
2017-07-06 10:34:12,22,22
2017-07-06 10:29:12,22,25
2017-07-06 10:24:11,23,24
2017-07-06 10:19:12,20,20
2017-07-06 10:14:12,24,26
2017-07-06 10:09:12,23,25
2017-07-06 10:04:12,25,26
2017-07-06 09:59:12,19,20
2017-07-06 09:54:12,27,28
2017-07-06 09:49:17,24,25
2017-07-06 09:44:12,28,30
2017-07-06 09:39:12,35,37
2017-07-06 09:34:12,35,38
2017-07-06 09:29:12,45,47
2017-07-06 09:24:11,59,65
2017-07-06 09:19:12,71,74
2017-07-06 09:14:12,79,83
2017-07-06 09:09:12,82,86
2017-07-06 09:04:12,69,74
2017-07-06 08:59:12,89,96
2017-07-06 08:54:12,77,80
2017-07-06 08:49:12,71,75
2017-07-06 08:44:12,80,83
2017-07-06 08:39:12,92,96
2017-07-06 08:34:12,84,87
2017-07-06 08:29:12,87,91
2017-07-06 08:24:11,80,84
2017-07-06 08:19:12,73,75
2017-07-06 08:14:12,73,77
2017-07-06 08:09:12,72,74
2017-07-06 08:04:12,62,66
2017-07-06 07:59:12,62,65
2017-07-06 07:54:14,55,59
2017-07-06 07:49:13,61,64
2017-07-06 07:44:12,55,60
2017-07-06 07:39:13,60,64
2017-07-06 07:34:12,54,56
2017-07-06 07:29:12,55,57
2017-07-06 07:24:11,54,56
2017-07-06 07:19:13,52,53
2017-07-06 07:14:12,47,49
2017-07-06 07:09:12,47,50
2017-07-06 07:04:13,46,46
2017-07-06 06:59:13,52,54
2017-07-06 06:54:13,48,49
2017-07-06 06:49:13,43,44
2017-07-06 06:44:13,43,43
2017-07-06 06:39:13,42,44
2017-07-06 06:34:13,42,45
2017-07-06 06:29:13,45,45
2017-07-06 06:24:12,46,48
2017-07-06 06:19:13,47,47
2017-07-06 06:14:13,46,48
2017-07-06 06:09:13,44,45
2017-07-06 06:04:13,45,46
2017-07-06 05:59:13,46,49
2017-07-06 05:54:13,47,50
2017-07-06 05:49:13,48,50
2017-07-06 05:44:13,53,53
2017-07-06 05:39:13,56,59
2017-07-06 05:34:13,54,55
2017-07-06 05:29:13,46,48
2017-07-06 05:24:12,49,51
2017-07-06 05:19:13,56,58
2017-07-06 05:14:13,44,47
2017-07-06 05:09:13,40,42
2017-07-06 05:04:13,46,48
2017-07-06 04:59:13,44,46
2017-07-06 04:54:13,40,41
