Laseregg_1c5d 7 day hourly averages

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-06-17 07:39:59
Time span: 2017-06-10 14:00 to 2017-06-17 14:00

Reporting Time,Pm 2.5,Pm 10
2017-06-17 14:0,38,40
2017-06-17 13:0,35,37
2017-06-17 12:0,40,42
2017-06-17 11:0,55,58
2017-06-17 10:0,34,36
2017-06-17 09:0,31,33
2017-06-17 08:0,27,28
2017-06-17 07:0,26,27
2017-06-17 06:0,27,28
2017-06-17 05:0,26,27
2017-06-17 04:0,26,28
2017-06-17 03:0,26,28
2017-06-17 02:0,37,39
2017-06-17 01:0,39,41
2017-06-17 00:0,28,31
2017-06-16 23:0,31,33
2017-06-16 22:0,32,33
2017-06-16 21:0,38,41
2017-06-16 20:0,37,39
2017-06-16 19:0,26,28
2017-06-16 18:0,30,31
2017-06-16 17:0,21,21
2017-06-16 16:0,21,22
2017-06-16 15:0,23,24
2017-06-16 14:0,26,27
2017-06-16 13:0,28,29
2017-06-16 12:0,26,26
2017-06-16 11:0,36,39
2017-06-16 10:0,36,37
2017-06-16 09:0,31,33
2017-06-16 08:0,42,44
2017-06-16 07:0,50,52
2017-06-16 06:0,53,56
2017-06-16 05:0,58,62
2017-06-16 04:0,62,67
2017-06-16 03:0,55,58
2017-06-16 02:0,44,47
2017-06-16 01:0,33,35
2017-06-16 00:0,35,37
2017-06-15 23:0,35,36
2017-06-15 22:0,30,32
2017-06-15 21:0,30,32
2017-06-15 20:0,35,37
2017-06-15 19:0,15,16
2017-06-15 18:0,18,19
2017-06-15 17:0,17,18
2017-06-15 16:0,16,17
2017-06-15 15:0,15,16
2017-06-15 14:0,20,21
2017-06-15 13:0,23,24
2017-06-15 12:0,29,30
2017-06-15 11:0,33,35
2017-06-15 10:0,33,35
2017-06-15 09:0,40,42
2017-06-15 08:0,43,45
2017-06-15 07:0,22,23
2017-06-15 06:0,28,30
2017-06-15 05:0,25,26
2017-06-15 04:0,28,29
2017-06-15 03:0,32,34
2017-06-15 02:0,36,38
2017-06-15 01:0,36,38
2017-06-15 00:0,38,40
2017-06-14 23:0,37,40
2017-06-14 22:0,39,40
2017-06-14 21:0,35,37
2017-06-14 20:0,40,42
2017-06-14 19:0,25,27
2017-06-14 18:0,23,24
2017-06-14 17:0,15,15
2017-06-14 16:0,20,21
2017-06-14 15:0,19,20
2017-06-14 14:0,26,27
2017-06-14 13:0,38,41
2017-06-14 12:0,-,-
2017-06-14 11:0,-,-
2017-06-14 10:0,-,-
2017-06-14 09:0,-,-
2017-06-14 08:0,-,-
2017-06-14 07:0,-,-
2017-06-14 06:0,-,-
2017-06-14 05:0,-,-
2017-06-14 04:0,-,-
2017-06-14 03:0,-,-
2017-06-14 02:0,-,-
2017-06-14 01:0,-,-
2017-06-14 00:0,-,-
2017-06-13 23:0,-,-
2017-06-13 22:0,-,-
2017-06-13 21:0,-,-
2017-06-13 20:0,-,-
2017-06-13 19:0,-,-
2017-06-13 18:0,-,-
2017-06-13 17:0,-,-
2017-06-13 16:0,0,0
2017-06-13 15:0,-,-
2017-06-13 14:0,-,-
2017-06-13 13:0,-,-
2017-06-13 12:0,-,-
2017-06-13 11:0,-,-
2017-06-13 10:0,-,-
2017-06-13 09:0,-,-
2017-06-13 08:0,-,-
2017-06-13 07:0,-,-
2017-06-13 06:0,-,-
2017-06-13 05:0,-,-
2017-06-13 04:0,-,-
2017-06-13 03:0,-,-
2017-06-13 02:0,-,-
2017-06-13 01:0,-,-
2017-06-13 00:0,-,-
2017-06-12 23:0,-,-
2017-06-12 22:0,-,-
2017-06-12 21:0,-,-
2017-06-12 20:0,-,-
2017-06-12 19:0,-,-
2017-06-12 18:0,-,-
2017-06-12 17:0,-,-
2017-06-12 16:0,-,-
2017-06-12 15:0,-,-
2017-06-12 14:0,-,-
